time_us,encoder_value
15945678, 1184190
15955688, 1185141
15965698, 1186091
15975708, 1187042
15985717, 1187992
15995727, 1188944
16005737, 1189895
16015747, 1190847
16025756, 1191803
16035766, 1192757
16045776, 1193709
16055786, 1194657
16065795, 1195607
16075805, 1196559
16085815, 1197510
16095825, 1198461
16105834, 1199416
16115844, 1200368
16125854, 1201321
16135864, 1202271
16145874, 1203222
16155883, 1204173
16165893, 1205126
16175903, 1206079
16185913, 1207033
16195922, 1207986
16205932, 1208939
16215942, 1209891
16225952, 1210840
16235961, 1211791
16245971, 1212743
16255981, 1213694
16265991, 1214645
16276000, 1215600
16286010, 1216555
16296020, 1217509
16306030, 1218462
16326049, 1220367
16336059, 1221318
16346069, 1222269
16356079, 1223223
16366088, 1224176
16376098, 1225130
16386108, 1226083
16396118, 1227033
16406127, 1227984
16416137, 1228936
16426147, 1229890
16436157, 1230842
16446166, 1231796
16456176, 1232753
16466186, 1233708
16476196, 1234661
16486206, 1235610
16496215, 1236562
16506225, 1237513
16516235, 1238464
16526245, 1239417
16536254, 1240371
16546264, 1241325
16556274, 1242278
16566284, 1243231
16576293, 1244185
16586303, 1245137
16596313, 1246091
16606323, 1247045
16616333, 1248001
16626342, 1248955
16636352, 1249910
16646362, 1250864
16656372, 1251812
16666381, 1252764
16676391, 1253718
16686401, 1254670
16696411, 1255623
16706420, 1256580
16716430, 1257536
16726440, 1258492
16736450, 1259445
16746459, 1260396
16766479, 1262307
16776489, 1263259
16786499, 1264214
16796508, 1265169
16806518, 1266124
16816528, 1267078
16826538, 1268029
16836547, 1268980
16846557, 1269934
16856567, 1270889
16866577, 1271842
16876586, 1272797
16886596, 1273755
16896606, 1274712
16906616, 1275666
16916625, 1276617
16926635, 1277572
16936645, 1278525
16946655, 1279477
16956665, 1280431
16966674, 1281386
16976684, 1282342
16986694, 1283296
16996704, 1284249
17006713, 1285203
17016723, 1286159
17026733, 1287112
17036743, 1288067
17046752, 1289026
17056762, 1289982
17066772, 1290939
17076782, 1291893
17086791, 1292844
17096801, 1293799
17106811, 1294751
17116821, 1295705
17126831, 1296659
17136840, 1297615
17146850, 1298572
17156860, 1299528
17166870, 1300480
17176879, 1301432
17186889, 1302388
17196899, 1303345
17206909, 1304299
17216918, 1305255
17226928, 1306212
17236938, 1307168
17246948, 1308122
17256958, 1309073
